scenario_name,period_number,simulation_number,curve_name,curve_adate,curve_year,period_length,parallel_shock_size
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,14,1.0,-0.25
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,15,1.0,-0.25
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,16,1.0,-0.25
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,17,1.0,-0.25
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,18,1.0,-0.25
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,19,1.0,-0.25
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,20,1.0,-0.25
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,21,1.0,-0.25
USD_SWAP_SHIFT_01,2,0,USD_SWAP,2025-04-30,22,1.0,-0.25
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,8,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,9,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,10,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,11,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,12,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,13,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,14,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,15,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,16,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,17,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,18,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,19,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,20,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,21,1.0,-0.1
USD_SWAP_SHIFT_01,3,0,USD_SWAP,2025-04-30,22,1.0,-0.1
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,8,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,9,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,10,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,11,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,12,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,13,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,14,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,15,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,16,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,17,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,18,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,19,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,20,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,21,1.0,-0.05
USD_SWAP_SHIFT_01,4,0,USD_SWAP,2025-04-30,22,1.0,-0.05
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,8,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,9,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,10,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,11,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,12,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,13,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,14,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,15,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,16,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,17,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,18,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,19,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,20,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,21,1.0,-0.1
USD_SWAP_SHIFT_01,5,0,USD_SWAP,2025-04-30,22,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,8,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,9,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,10,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,11,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,12,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,13,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,14,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,15,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,16,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,17,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,18,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,19,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,20,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,21,1.0,-0.1
USD_SWAP_SHIFT_01,6,0,USD_SWAP,2025-04-30,22,1.0,-0.1
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,8,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,9,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,10,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,11,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,12,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,13,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,14,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,15,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,16,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,17,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,18,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,19,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,20,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,21,1.0,-0.25
USD_SWAP_SHIFT_01,7,0,USD_SWAP,2025-04-30,22,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,8,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,9,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,10,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,11,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,12,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,13,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,14,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,15,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,16,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,17,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,18,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,19,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,20,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,21,1.0,-0.25
USD_SWAP_SHIFT_01,8,0,USD_SWAP,2025-04-30,22,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,8,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,9,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,10,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,11,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,12,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,13,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,14,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,15,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,16,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,17,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,18,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,19,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,20,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,21,1.0,-0.25
USD_SWAP_SHIFT_01,9,0,USD_SWAP,2025-04-30,22,1.0,-0.25
